op1	operation	op2	result	correct	dev	label	subject	Weight	Nested	Procedure
3	-	5	-2	1	0	3 - 5 = -2	24	1		TrialProc
5	-	7	-4	0	-2	5 - 7 = -4	24	1		TrialProc
6	-	5	1	1	0	6 - 5 = 1	24	1		TrialProc
8	+	2	10	1	0	8 + 2 = 10	24	1		TrialProc
8	-	2	4	0	-2	8 - 2 = 4	24	1		TrialProc
6	-	7	-1	1	0	6 - 7 = -1	24	1		TrialProc
8	+	3	11	1	0	8 + 3 = 11	24	1		TrialProc
7	+	7	14	1	0	7 + 7 = 14	24	1		TrialProc
2	-	2	-2	0	-2	2 - 2 = -2	24	1		TrialProc
6	+	8	14	1	0	6 + 8 = 14	24	1		TrialProc
8	-	4	4	1	0	8 - 4 = 4	24	1		TrialProc
9	-	5	3	0	-1	9 - 5 = 3	24	1		TrialProc
3	+	9	11	0	-1	3 + 9 = 11	24	1		TrialProc
3	+	7	8	0	-2	3 + 7 = 8	24	1		TrialProc
8	+	6	14	1	0	8 + 6 = 14	24	1		TrialProc
4	+	5	9	1	0	4 + 5 = 9	24	1		TrialProc
8	-	4	4	1	0	8 - 4 = 4	24	1		TrialProc
8	+	7	15	1	0	8 + 7 = 15	24	1		TrialProc
2	+	7	8	0	-1	2 + 7 = 8	24	1		TrialProc
2	+	6	6	0	-2	2 + 6 = 6	24	1		TrialProc
6	+	6	11	0	-1	6 + 6 = 11	24	1		TrialProc
9	+	7	14	0	-2	9 + 7 = 14	24	1		TrialProc
8	-	2	6	1	0	8 - 2 = 6	24	1		TrialProc
3	-	7	-6	0	-2	3 - 7 = -6	24	1		TrialProc
2	+	6	8	1	0	2 + 6 = 8	24	1		TrialProc
5	+	3	6	0	-2	5 + 3 = 6	24	1		TrialProc
7	-	5	2	1	0	7 - 5 = 2	24	1		TrialProc
8	-	4	3	0	-1	8 - 4 = 3	24	1		TrialProc
6	+	7	12	0	-1	6 + 7 = 12	24	1		TrialProc
8	-	8	-2	0	-2	8 - 8 = -2	24	1		TrialProc
5	-	2	2	0	-1	5 - 2 = 2	24	1		TrialProc
9	+	8	17	1	0	9 + 8 = 17	24	1		TrialProc
4	+	9	13	1	0	4 + 9 = 13	24	1		TrialProc
8	-	6	1	0	-1	8 - 6 = 1	24	1		TrialProc
8	-	7	1	1	0	8 - 7 = 1	24	1		TrialProc
7	+	8	14	0	-1	7 + 8 = 14	24	1		TrialProc
8	-	9	-1	1	0	8 - 9 = -1	24	1		TrialProc
8	+	8	14	0	-2	8 + 8 = 14	24	1		TrialProc
3	-	9	-7	0	-1	3 - 9 = -7	24	1		TrialProc
6	-	6	-1	0	-1	6 - 6 = -1	24	1		TrialProc
2	+	4	4	0	-2	2 + 4 = 4	24	1		TrialProc
8	-	4	4	1	0	8 - 4 = 4	24	1		TrialProc
4	-	3	0	0	-1	4 - 3 = 0	24	1		TrialProc
6	-	7	-2	0	-1	6 - 7 = -2	24	1		TrialProc
4	-	9	-5	1	0	4 - 9 = -5	24	1		TrialProc
9	+	4	12	0	-1	9 + 4 = 12	24	1		TrialProc
3	+	2	5	1	0	3 + 2 = 5	25	1		TrialProc
4	-	4	0	1	0	4 - 4 = 0	25	1		TrialProc
6	-	2	4	1	0	6 - 2 = 4	25	1		TrialProc
6	-	7	-3	0	-2	6 - 7 = -3	25	1		TrialProc
7	+	6	13	1	0	7 + 6 = 13	25	1		TrialProc
7	+	8	13	0	-2	7 + 8 = 13	25	1		TrialProc
8	+	7	14	0	-1	8 + 7 = 14	25	1		TrialProc
7	-	9	-2	1	0	7 - 9 = -2	25	1		TrialProc
4	-	7	-3	1	0	4 - 7 = -3	25	1		TrialProc
7	+	7	13	0	-1	7 + 7 = 13	25	1		TrialProc
2	+	8	9	0	-1	2 + 8 = 9	25	1		TrialProc
8	+	3	9	0	-2	8 + 3 = 9	25	1		TrialProc
6	+	4	10	1	0	6 + 4 = 10	25	1		TrialProc
7	+	9	16	1	0	7 + 9 = 16	25	1		TrialProc
6	-	7	-3	0	-2	6 - 7 = -3	25	1		TrialProc
9	+	6	13	0	-2	9 + 6 = 13	25	1		TrialProc
8	-	8	-1	0	-1	8 - 8 = -1	25	1		TrialProc
9	-	2	6	0	-1	9 - 2 = 6	25	1		TrialProc
8	+	6	12	0	-2	8 + 6 = 12	25	1		TrialProc
8	-	3	4	0	-1	8 - 3 = 4	25	1		TrialProc
5	+	4	9	1	0	5 + 4 = 9	25	1		TrialProc
2	-	7	-5	1	0	2 - 7 = -5	25	1		TrialProc
7	+	5	12	1	0	7 + 5 = 12	25	1		TrialProc
7	+	6	11	0	-2	7 + 6 = 11	25	1		TrialProc
7	+	6	13	1	0	7 + 6 = 13	25	1		TrialProc
4	-	2	0	0	-2	4 - 2 = 0	25	1		TrialProc
6	-	3	1	0	-2	6 - 3 = 1	25	1		TrialProc
8	+	2	9	0	-1	8 + 2 = 9	25	1		TrialProc
8	-	4	4	1	0	8 - 4 = 4	25	1		TrialProc
7	-	6	0	0	-1	7 - 6 = 0	25	1		TrialProc
4	-	2	0	0	-2	4 - 2 = 0	25	1		TrialProc
9	+	8	17	1	0	9 + 8 = 17	25	1		TrialProc
3	+	5	8	1	0	3 + 5 = 8	25	1		TrialProc
5	-	5	-1	0	-1	5 - 5 = -1	25	1		TrialProc
7	+	3	9	0	-1	7 + 3 = 9	25	1		TrialProc
7	-	2	5	1	0	7 - 2 = 5	25	1		TrialProc
4	+	6	9	0	-1	4 + 6 = 9	25	1		TrialProc
3	+	6	7	0	-2	3 + 6 = 7	25	1		TrialProc
6	-	4	2	1	0	6 - 4 = 2	25	1		TrialProc
7	-	8	-2	0	-1	7 - 8 = -2	25	1		TrialProc
9	-	8	1	1	0	9 - 8 = 1	25	1		TrialProc
7	-	4	2	0	-1	7 - 4 = 2	25	1		TrialProc
6	-	2	2	0	-2	6 - 2 = 2	25	1		TrialProc
4	+	3	7	1	0	4 + 3 = 7	25	1		TrialProc
2	-	2	0	1	0	2 - 2 = 0	25	1		TrialProc
7	+	9	16	1	0	7 + 9 = 16	25	1		TrialProc
9	+	8	17	1	0	9 + 8 = 17	25	1		TrialProc
6	-	5	0	0	-1	6 - 5 = 0	25	1		TrialProc
6	+	3	9	1	0	6 + 3 = 9	25	1		TrialProc
9	+	7	15	0	-1	9 + 7 = 15	25	1		TrialProc
2	-	3	-1	1	0	2 - 3 = -1	25	1		TrialProc
9	+	8	17	1	0	9 + 8 = 17	25	1		TrialProc
9	+	5	13	0	-1	9 + 5 = 13	25	1		TrialProc
8	-	4	4	1	0	8 - 4 = 4	25	1		TrialProc
2	+	5	7	1	0	2 + 5 = 7	25	1		TrialProc
9	-	5	4	1	0	9 - 5 = 4	25	1		TrialProc
7	-	6	0	0	-1	7 - 6 = 0	25	1		TrialProc
8	+	5	11	0	-2	8 + 5 = 11	25	1		TrialProc
2	-	2	0	1	0	2 - 2 = 0	25	1		TrialProc
7	-	5	2	1	0	7 - 5 = 2	25	1		TrialProc
9	+	9	16	0	-2	9 + 9 = 16	26	1		TrialProc
5	+	5	9	0	-1	5 + 5 = 9	26	1		TrialProc
4	-	3	1	1	0	4 - 3 = 1	26	1		TrialProc
7	+	6	12	0	-1	7 + 6 = 12	26	1		TrialProc
6	-	8	-3	0	-1	6 - 8 = -3	26	1		TrialProc
7	+	6	13	1	0	7 + 6 = 13	26	1		TrialProc
4	+	8	12	1	0	4 + 8 = 12	26	1		TrialProc
6	-	7	-2	0	-1	6 - 7 = -2	26	1		TrialProc
2	-	6	-4	1	0	2 - 6 = -4	26	1		TrialProc
7	+	4	11	1	0	7 + 4 = 11	26	1		TrialProc
3	+	7	10	1	0	3 + 7 = 10	26	1		TrialProc
7	+	5	12	1	0	7 + 5 = 12	26	1		TrialProc
6	+	3	7	0	-2	6 + 3 = 7	26	1		TrialProc
2	+	8	9	0	-1	2 + 8 = 9	26	1		TrialProc
9	+	5	12	0	-2	9 + 5 = 12	26	1		TrialProc
5	+	2	7	1	0	5 + 2 = 7	26	1		TrialProc
9	-	5	4	1	0	9 - 5 = 4	26	1		TrialProc
5	+	6	10	0	-1	5 + 6 = 10	26	1		TrialProc
7	-	4	3	1	0	7 - 4 = 3	26	1		TrialProc
3	+	3	5	0	-1	3 + 3 = 5	26	1		TrialProc
2	+	7	9	1	0	2 + 7 = 9	26	1		TrialProc
9	-	3	5	0	-1	9 - 3 = 5	26	1		TrialProc
2	-	8	-6	1	0	2 - 8 = -6	26	1		TrialProc
8	+	4	10	0	-2	8 + 4 = 10	26	1		TrialProc
3	+	8	9	0	-2	3 + 8 = 9	26	1		TrialProc
5	-	3	2	1	0	5 - 3 = 2	26	1		TrialProc
8	+	2	10	1	0	8 + 2 = 10	26	1		TrialProc
6	-	2	2	0	-2	6 - 2 = 2	26	1		TrialProc
6	-	2	3	0	-1	6 - 2 = 3	26	1		TrialProc
9	+	9	18	1	0	9 + 9 = 18	26	1		TrialProc
7	-	5	2	1	0	7 - 5 = 2	26	1		TrialProc
3	+	8	11	1	0	3 + 8 = 11	26	1		TrialProc
4	+	8	10	0	-2	4 + 8 = 10	26	1		TrialProc
6	+	6	11	0	-1	6 + 6 = 11	26	1		TrialProc
3	-	8	-6	0	-1	3 - 8 = -6	26	1		TrialProc
4	+	5	9	1	0	4 + 5 = 9	26	1		TrialProc
7	-	9	-2	1	0	7 - 9 = -2	26	1		TrialProc
8	+	9	15	0	-2	8 + 9 = 15	26	1		TrialProc
4	-	4	0	1	0	4 - 4 = 0	26	1		TrialProc
2	-	4	-3	0	-1	2 - 4 = -3	26	1		TrialProc
4	-	2	0	0	-2	4 - 2 = 0	26	1		TrialProc
2	-	4	-4	0	-2	2 - 4 = -4	26	1		TrialProc
5	-	6	-1	1	0	5 - 6 = -1	26	1		TrialProc
9	+	8	17	1	0	9 + 8 = 17	26	1		TrialProc
2	+	5	7	1	0	2 + 5 = 7	26	1		TrialProc
5	-	3	0	0	-2	5 - 3 = 0	26	1		TrialProc
3	-	9	-7	0	-1	3 - 9 = -7	26	1		TrialProc
3	-	6	-3	1	0	3 - 6 = -3	26	1		TrialProc
4	-	5	-3	0	-2	4 - 5 = -3	26	1		TrialProc
2	-	3	-3	0	-2	2 - 3 = -3	26	1		TrialProc
3	+	9	12	1	0	3 + 9 = 12	26	1		TrialProc
4	-	2	1	0	-1	4 - 2 = 1	26	1		TrialProc
6	-	3	3	1	0	6 - 3 = 3	26	1		TrialProc
8	+	7	13	0	-2	8 + 7 = 13	26	1		TrialProc
6	+	8	13	0	-1	6 + 8 = 13	26	1		TrialProc
5	-	5	0	1	0	5 - 5 = 0	26	1		TrialProc
9	+	3	12	1	0	9 + 3 = 12	26	1		TrialProc
8	-	3	5	1	0	8 - 3 = 5	26	1		TrialProc
6	-	2	4	1	0	6 - 2 = 4	26	1		TrialProc
5	-	5	-2	0	-2	5 - 5 = -2	26	1		TrialProc
2	+	6	7	0	-1	2 + 6 = 7	27	1		TrialProc
2	+	3	5	1	0	2 + 3 = 5	27	1		TrialProc
4	+	6	8	0	-2	4 + 6 = 8	27	1		TrialProc
6	-	6	-2	0	-2	6 - 6 = -2	27	1		TrialProc
6	-	3	3	1	0	6 - 3 = 3	27	1		TrialProc
9	-	2	5	0	-2	9 - 2 = 5	27	1		TrialProc
6	-	2	2	0	-2	6 - 2 = 2	27	1		TrialProc
9	-	2	7	1	0	9 - 2 = 7	27	1		TrialProc
5	+	6	11	1	0	5 + 6 = 11	27	1		TrialProc
8	-	8	0	1	0	8 - 8 = 0	27	1		TrialProc
6	+	6	11	0	-1	6 + 6 = 11	27	1		TrialProc
8	-	9	-2	0	-1	8 - 9 = -2	27	1		TrialProc
9	-	9	0	1	0	9 - 9 = 0	27	1		TrialProc
3	-	5	-2	1	0	3 - 5 = -2	27	1		TrialProc
6	-	7	-3	0	-2	6 - 7 = -3	27	1		TrialProc
7	+	6	12	0	-1	7 + 6 = 12	27	1		TrialProc
5	-	3	1	0	-1	5 - 3 = 1	27	1		TrialProc
5	+	7	10	0	-2	5 + 7 = 10	27	1		TrialProc
6	+	8	12	0	-2	6 + 8 = 12	27	1		TrialProc
2	+	7	7	0	-2	2 + 7 = 7	27	1		TrialProc
7	-	6	-1	0	-2	7 - 6 = -1	27	1		TrialProc
3	+	7	10	1	0	3 + 7 = 10	27	1		TrialProc
2	-	7	-5	1	0	2 - 7 = -5	27	1		TrialProc
7	-	7	-2	0	-2	7 - 7 = -2	27	1		TrialProc
8	-	5	3	1	0	8 - 5 = 3	27	1		TrialProc
3	-	7	-4	1	0	3 - 7 = -4	27	1		TrialProc
2	-	2	0	1	0	2 - 2 = 0	27	1		TrialProc
5	+	9	14	1	0	5 + 9 = 14	27	1		TrialProc
6	+	3	9	1	0	6 + 3 = 9	27	1		TrialProc
8	+	7	13	0	-2	8 + 7 = 13	27	1		TrialProc
9	-	7	2	1	0	9 - 7 = 2	27	1		TrialProc
8	-	4	2	0	-2	8 - 4 = 2	27	1		TrialProc
4	-	8	-4	1	0	4 - 8 = -4	27	1		TrialProc
7	+	7	12	0	-2	7 + 7 = 12	27	1		TrialProc
6	+	2	8	1	0	6 + 2 = 8	27	1		TrialProc
6	+	3	9	1	0	6 + 3 = 9	27	1		TrialProc
4	-	7	-3	1	0	4 - 7 = -3	27	1		TrialProc
9	+	8	16	0	-1	9 + 8 = 16	27	1		TrialProc
7	-	4	3	1	0	7 - 4 = 3	27	1		TrialProc
7	+	7	13	0	-1	7 + 7 = 13	27	1		TrialProc
6	-	9	-3	1	0	6 - 9 = -3	27	1		TrialProc
9	+	2	11	1	0	9 + 2 = 11	27	1		TrialProc
2	+	9	11	1	0	2 + 9 = 11	27	1		TrialProc
7	-	5	0	0	-2	7 - 5 = 0	27	1		TrialProc
3	+	5	8	1	0	3 + 5 = 8	27	1		TrialProc
8	+	2	10	1	0	8 + 2 = 10	27	1		TrialProc
9	+	4	12	0	-1	9 + 4 = 12	27	1		TrialProc
2	+	4	4	0	-2	2 + 4 = 4	27	1		TrialProc
4	+	2	6	1	0	4 + 2 = 6	27	1		TrialProc
4	-	3	0	0	-1	4 - 3 = 0	27	1		TrialProc
8	-	6	2	1	0	8 - 6 = 2	27	1		TrialProc
7	+	8	14	0	-1	7 + 8 = 14	27	1		TrialProc
4	+	2	6	1	0	4 + 2 = 6	27	1		TrialProc
2	+	4	5	0	-1	2 + 4 = 5	27	1		TrialProc
8	-	6	0	0	-2	8 - 6 = 0	27	1		TrialProc
3	-	2	0	0	-1	3 - 2 = 0	27	1		TrialProc
8	-	6	1	0	-1	8 - 6 = 1	27	1		TrialProc
5	+	4	9	1	0	5 + 4 = 9	27	1		TrialProc
4	+	6	10	1	0	4 + 6 = 10	27	1		TrialProc
5	-	5	-2	0	-2	5 - 5 = -2	27	1		TrialProc
7	+	4	11	1	0	7 + 4 = 11	28	1		TrialProc
9	+	2	9	0	-2	9 + 2 = 9	28	1		TrialProc
3	-	2	-1	0	-2	3 - 2 = -1	28	1		TrialProc
8	+	5	11	0	-2	8 + 5 = 11	28	1		TrialProc
8	-	3	5	1	0	8 - 3 = 5	28	1		TrialProc
5	-	5	0	1	0	5 - 5 = 0	28	1		TrialProc
3	-	7	-6	0	-2	3 - 7 = -6	28	1		TrialProc
9	+	2	11	1	0	9 + 2 = 11	28	1		TrialProc
5	-	7	-2	1	0	5 - 7 = -2	28	1		TrialProc
7	+	9	16	1	0	7 + 9 = 16	28	1		TrialProc
6	-	9	-5	0	-2	6 - 9 = -5	28	1		TrialProc
2	-	6	-4	1	0	2 - 6 = -4	28	1		TrialProc
6	+	3	9	1	0	6 + 3 = 9	28	1		TrialProc
3	-	2	0	0	-1	3 - 2 = 0	28	1		TrialProc
4	+	4	8	1	0	4 + 4 = 8	28	1		TrialProc
9	+	6	14	0	-1	9 + 6 = 14	28	1		TrialProc
3	-	9	-6	1	0	3 - 9 = -6	28	1		TrialProc
4	+	9	13	1	0	4 + 9 = 13	28	1		TrialProc
5	-	2	3	1	0	5 - 2 = 3	28	1		TrialProc
7	-	3	4	1	0	7 - 3 = 4	28	1		TrialProc
5	-	8	-3	1	0	5 - 8 = -3	28	1		TrialProc
8	+	9	17	1	0	8 + 9 = 17	28	1		TrialProc
3	-	3	-2	0	-2	3 - 3 = -2	28	1		TrialProc
3	+	5	8	1	0	3 + 5 = 8	28	1		TrialProc
2	-	6	-4	1	0	2 - 6 = -4	28	1		TrialProc
4	+	3	5	0	-2	4 + 3 = 5	28	1		TrialProc
8	-	9	-2	0	-1	8 - 9 = -2	28	1		TrialProc
8	+	9	17	1	0	8 + 9 = 17	28	1		TrialProc
6	+	3	7	0	-2	6 + 3 = 7	28	1		TrialProc
9	-	3	6	1	0	9 - 3 = 6	28	1		TrialProc
6	-	3	2	0	-1	6 - 3 = 2	28	1		TrialProc
8	-	3	5	1	0	8 - 3 = 5	28	1		TrialProc
9	+	8	17	1	0	9 + 8 = 17	28	1		TrialProc
7	-	3	3	0	-1	7 - 3 = 3	28	1		TrialProc
2	-	5	-5	0	-2	2 - 5 = -5	28	1		TrialProc
2	+	9	10	0	-1	2 + 9 = 10	28	1		TrialProc
5	-	2	1	0	-2	5 - 2 = 1	28	1		TrialProc
9	+	8	17	1	0	9 + 8 = 17	28	1		TrialProc
2	-	6	-4	1	0	2 - 6 = -4	28	1		TrialProc
5	-	9	-6	0	-2	5 - 9 = -6	28	1		TrialProc
8	+	9	16	0	-1	8 + 9 = 16	28	1		TrialProc
8	-	3	5	1	0	8 - 3 = 5	28	1		TrialProc
8	-	2	4	0	-2	8 - 2 = 4	28	1		TrialProc
2	-	4	-4	0	-2	2 - 4 = -4	28	1		TrialProc
6	+	6	10	0	-2	6 + 6 = 10	28	1		TrialProc
5	+	9	14	1	0	5 + 9 = 14	28	1		TrialProc
6	+	3	8	0	-1	6 + 3 = 8	28	1		TrialProc
4	+	7	11	1	0	4 + 7 = 11	28	1		TrialProc
3	+	6	7	0	-2	3 + 6 = 7	28	1		TrialProc
3	+	6	7	0	-2	3 + 6 = 7	28	1		TrialProc
3	+	7	9	0	-1	3 + 7 = 9	28	1		TrialProc
9	+	4	12	0	-1	9 + 4 = 12	28	1		TrialProc
9	+	7	15	0	-1	9 + 7 = 15	28	1		TrialProc
9	-	8	1	1	0	9 - 8 = 1	28	1		TrialProc
2	-	5	-5	0	-2	2 - 5 = -5	28	1		TrialProc
4	-	6	-3	0	-1	4 - 6 = -3	28	1		TrialProc
9	+	2	11	1	0	9 + 2 = 11	28	1		TrialProc
4	-	5	-1	1	0	4 - 5 = -1	28	1		TrialProc
6	+	2	7	0	-1	6 + 2 = 7	28	1		TrialProc
5	+	4	9	1	0	5 + 4 = 9	28	1		TrialProc
9	-	5	3	0	-1	9 - 5 = 3	29	1		TrialProc
7	-	5	0	0	-2	7 - 5 = 0	29	1		TrialProc
6	-	9	-3	1	0	6 - 9 = -3	29	1		TrialProc
8	+	8	16	1	0	8 + 8 = 16	29	1		TrialProc
5	-	4	-1	0	-2	5 - 4 = -1	29	1		TrialProc
4	+	4	8	1	0	4 + 4 = 8	29	1		TrialProc
8	-	9	-2	0	-1	8 - 9 = -2	29	1		TrialProc
3	-	8	-5	1	0	3 - 8 = -5	29	1		TrialProc
2	+	9	10	0	-1	2 + 9 = 10	29	1		TrialProc
6	-	6	-2	0	-2	6 - 6 = -2	29	1		TrialProc
5	+	6	11	1	0	5 + 6 = 11	29	1		TrialProc
5	-	6	-1	1	0	5 - 6 = -1	29	1		TrialProc
2	+	9	11	1	0	2 + 9 = 11	29	1		TrialProc
5	-	6	-1	1	0	5 - 6 = -1	29	1		TrialProc
3	-	5	-3	0	-1	3 - 5 = -3	29	1		TrialProc
2	-	6	-4	1	0	2 - 6 = -4	29	1		TrialProc
7	+	4	11	1	0	7 + 4 = 11	29	1		TrialProc
6	+	3	8	0	-1	6 + 3 = 8	29	1		TrialProc
7	+	4	9	0	-2	7 + 4 = 9	29	1		TrialProc
4	+	6	10	1	0	4 + 6 = 10	29	1		TrialProc
3	+	3	4	0	-2	3 + 3 = 4	29	1		TrialProc
3	-	4	-3	0	-2	3 - 4 = -3	29	1		TrialProc
6	-	7	-1	1	0	6 - 7 = -1	29	1		TrialProc
8	+	6	14	1	0	8 + 6 = 14	29	1		TrialProc
5	+	8	12	0	-1	5 + 8 = 12	29	1		TrialProc
9	-	8	-1	0	-2	9 - 8 = -1	29	1		TrialProc
5	-	9	-4	1	0	5 - 9 = -4	29	1		TrialProc
2	-	4	-2	1	0	2 - 4 = -2	29	1		TrialProc
8	+	3	11	1	0	8 + 3 = 11	29	1		TrialProc
8	+	3	9	0	-2	8 + 3 = 9	29	1		TrialProc
7	-	9	-2	1	0	7 - 9 = -2	29	1		TrialProc
6	+	6	11	0	-1	6 + 6 = 11	29	1		TrialProc
8	-	5	3	1	0	8 - 5 = 3	29	1		TrialProc
9	+	6	14	0	-1	9 + 6 = 14	29	1		TrialProc
5	+	8	11	0	-2	5 + 8 = 11	29	1		TrialProc
4	-	3	0	0	-1	4 - 3 = 0	29	1		TrialProc
3	-	6	-3	1	0	3 - 6 = -3	29	1		TrialProc
4	+	2	5	0	-1	4 + 2 = 5	29	1		TrialProc
9	+	8	17	1	0	9 + 8 = 17	29	1		TrialProc
3	+	7	10	1	0	3 + 7 = 10	29	1		TrialProc
3	-	4	-2	0	-1	3 - 4 = -2	29	1		TrialProc
9	+	7	16	1	0	9 + 7 = 16	29	1		TrialProc
8	-	4	2	0	-2	8 - 4 = 2	29	1		TrialProc
7	+	8	15	1	0	7 + 8 = 15	29	1		TrialProc
4	-	5	-3	0	-2	4 - 5 = -3	29	1		TrialProc
8	+	9	15	0	-2	8 + 9 = 15	29	1		TrialProc
8	+	7	14	0	-1	8 + 7 = 14	29	1		TrialProc
5	+	6	11	1	0	5 + 6 = 11	29	1		TrialProc
4	-	2	1	0	-1	4 - 2 = 1	29	1		TrialProc
5	+	9	13	0	-1	5 + 9 = 13	29	1		TrialProc
4	-	7	-3	1	0	4 - 7 = -3	29	1		TrialProc
7	-	2	5	1	0	7 - 2 = 5	29	1		TrialProc
2	+	9	11	1	0	2 + 9 = 11	29	1		TrialProc
9	+	7	14	0	-2	9 + 7 = 14	29	1		TrialProc
6	+	3	9	1	0	6 + 3 = 9	29	1		TrialProc
5	-	6	-1	1	0	5 - 6 = -1	29	1		TrialProc
6	-	2	2	0	-2	6 - 2 = 2	29	1		TrialProc
7	+	8	14	0	-1	7 + 8 = 14	29	1		TrialProc
7	-	8	-3	0	-2	7 - 8 = -3	29	1		TrialProc
5	-	4	1	1	0	5 - 4 = 1	29	1		TrialProc
8	-	7	0	0	-1	8 - 7 = 0	30	1		TrialProc
7	+	8	14	0	-1	7 + 8 = 14	30	1		TrialProc
8	+	2	10	1	0	8 + 2 = 10	30	1		TrialProc
2	-	7	-7	0	-2	2 - 7 = -7	30	1		TrialProc
7	-	3	4	1	0	7 - 3 = 4	30	1		TrialProc
3	+	5	6	0	-2	3 + 5 = 6	30	1		TrialProc
2	+	7	7	0	-2	2 + 7 = 7	30	1		TrialProc
3	-	3	-2	0	-2	3 - 3 = -2	30	1		TrialProc
6	-	3	2	0	-1	6 - 3 = 2	30	1		TrialProc
6	+	4	8	0	-2	6 + 4 = 8	30	1		TrialProc
4	+	9	13	1	0	4 + 9 = 13	30	1		TrialProc
6	-	2	4	1	0	6 - 2 = 4	30	1		TrialProc
7	+	4	11	1	0	7 + 4 = 11	30	1		TrialProc
8	-	4	2	0	-2	8 - 4 = 2	30	1		TrialProc
7	-	7	0	1	0	7 - 7 = 0	30	1		TrialProc
8	+	6	13	0	-1	8 + 6 = 13	30	1		TrialProc
4	-	6	-4	0	-2	4 - 6 = -4	30	1		TrialProc
7	+	9	16	1	0	7 + 9 = 16	30	1		TrialProc
5	+	6	11	1	0	5 + 6 = 11	30	1		TrialProc
3	+	2	3	0	-2	3 + 2 = 3	30	1		TrialProc
3	+	3	5	0	-1	3 + 3 = 5	30	1		TrialProc
6	-	6	0	1	0	6 - 6 = 0	30	1		TrialProc
9	-	6	2	0	-1	9 - 6 = 2	30	1		TrialProc
9	+	4	13	1	0	9 + 4 = 13	30	1		TrialProc
6	-	7	-1	1	0	6 - 7 = -1	30	1		TrialProc
5	-	7	-2	1	0	5 - 7 = -2	30	1		TrialProc
8	+	6	14	1	0	8 + 6 = 14	30	1		TrialProc
2	+	9	11	1	0	2 + 9 = 11	30	1		TrialProc
6	-	6	0	1	0	6 - 6 = 0	30	1		TrialProc
7	+	6	12	0	-1	7 + 6 = 12	30	1		TrialProc
8	-	8	-1	0	-1	8 - 8 = -1	30	1		TrialProc
9	+	3	12	1	0	9 + 3 = 12	30	1		TrialProc
2	-	2	-2	0	-2	2 - 2 = -2	30	1		TrialProc
8	-	2	6	1	0	8 - 2 = 6	30	1		TrialProc
8	-	9	-1	1	0	8 - 9 = -1	30	1		TrialProc
6	+	4	10	1	0	6 + 4 = 10	30	1		TrialProc
7	-	8	-1	1	0	7 - 8 = -1	30	1		TrialProc
8	-	9	-2	0	-1	8 - 9 = -2	30	1		TrialProc
3	+	2	4	0	-1	3 + 2 = 4	30	1		TrialProc
5	-	2	2	0	-1	5 - 2 = 2	30	1		TrialProc
5	+	4	7	0	-2	5 + 4 = 7	30	1		TrialProc
4	+	6	9	0	-1	4 + 6 = 9	30	1		TrialProc
7	-	5	2	1	0	7 - 5 = 2	30	1		TrialProc
7	-	6	1	1	0	7 - 6 = 1	30	1		TrialProc
6	-	8	-4	0	-2	6 - 8 = -4	30	1		TrialProc
6	+	5	9	0	-2	6 + 5 = 9	30	1		TrialProc
5	+	5	10	1	0	5 + 5 = 10	30	1		TrialProc
7	+	7	14	1	0	7 + 7 = 14	30	1		TrialProc
3	-	2	0	0	-1	3 - 2 = 0	30	1		TrialProc
4	+	3	7	1	0	4 + 3 = 7	30	1		TrialProc
8	-	5	2	0	-1	8 - 5 = 2	30	1		TrialProc
2	-	4	-2	1	0	2 - 4 = -2	30	1		TrialProc
5	+	5	8	0	-2	5 + 5 = 8	30	1		TrialProc
8	+	4	10	0	-2	8 + 4 = 10	30	1		TrialProc
4	-	6	-2	1	0	4 - 6 = -2	30	1		TrialProc
4	-	4	-2	0	-2	4 - 4 = -2	30	1		TrialProc
3	-	9	-6	1	0	3 - 9 = -6	30	1		TrialProc
4	+	3	7	1	0	4 + 3 = 7	30	1		TrialProc
6	+	2	6	0	-2	6 + 2 = 6	30	1		TrialProc
9	+	6	15	1	0	9 + 6 = 15	30	1		TrialProc
7	+	5	12	1	0	7 + 5 = 12	31	1		TrialProc
7	-	8	-3	0	-2	7 - 8 = -3	31	1		TrialProc
5	-	2	2	0	-1	5 - 2 = 2	31	1		TrialProc
3	+	3	6	1	0	3 + 3 = 6	31	1		TrialProc
9	-	2	7	1	0	9 - 2 = 7	31	1		TrialProc
6	-	2	2	0	-2	6 - 2 = 2	31	1		TrialProc
7	+	6	13	1	0	7 + 6 = 13	31	1		TrialProc
4	-	9	-5	1	0	4 - 9 = -5	31	1		TrialProc
4	-	8	-4	1	0	4 - 8 = -4	31	1		TrialProc
5	-	4	1	1	0	5 - 4 = 1	31	1		TrialProc
3	-	7	-6	0	-2	3 - 7 = -6	31	1		TrialProc
5	+	9	14	1	0	5 + 9 = 14	31	1		TrialProc
7	-	8	-2	0	-1	7 - 8 = -2	31	1		TrialProc
5	+	4	7	0	-2	5 + 4 = 7	31	1		TrialProc
9	-	6	2	0	-1	9 - 6 = 2	31	1		TrialProc
6	+	8	14	1	0	6 + 8 = 14	31	1		TrialProc
9	-	5	4	1	0	9 - 5 = 4	31	1		TrialProc
9	+	9	16	0	-2	9 + 9 = 16	31	1		TrialProc
6	+	2	8	1	0	6 + 2 = 8	31	1		TrialProc
7	-	3	4	1	0	7 - 3 = 4	31	1		TrialProc
